AFF_LOVE_POINT	Sevgi Puaný: %d%%
ALIGNMENT_NAME	Sýralamasý Puanlarý:
ATTACK_ERROR_UNKNOWN	Bilinmeyen Saldýrý Hatasý: %s
CANNOT_ATTACK_DEST_IN_SAFE	Þavasçý çok uzakta.
CANNOT_ATTACK_SELF_IN_SAFE	Saldýramam.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_EQUIP_IN_SHOP	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Genel alanda özel depo açamazsýn.
CANNOT_SHOOT_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Bir oka ihtiyacým var.
CANNOT_SHOOT_SELF_IN_SAFE	Bunu yapamam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklaþamam.
CANNOT_SKILL_ATTACK	Saldýramam.
CANNOT_SKILL_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir oltaya ihtiyacým var.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmadan önce bir ata ihtiyacým var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Boþ bir þiþem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehirli þiþem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP yok!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP yok!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu at sürerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu beceriyi bu silahla kullanamam.
CANNOT_SKILL_NOT_YET_LEARN	Bu beceriyi öðrenmedim.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Bu sadece grup üyelerini etkiler.
CANNOT_SKILL_ONLY_FOR_CORPSE	Bu sadece ölüleri etkiler.
CANNOT_SKILL_REMOVE_FISHING_ROD	Bu beceriyi olta ile kullanamam.
CANNOT_SKILL_SELF_IN_SAFE	Buradan saldýramam.
CANNOT_SKILL_USE_SELF	Bunu kendi üzerimde yapamam.
CANNOT_SKILL_WAIT_COOLTIME	Henüz bu beceriyi kullanamam.
CANNOT_USE	Onu kullanamazsýn.
CANNOT_WHISPER_DEST_REFUSE	%s fýsýldamayý blokladý.	SA
CANNOT_WHISPER_NOT_LOGON	%s baðlý deðil.	SA
CANNOT_WHISPER_SELF_REFUSE	Fýsýldamayý blokladýðýnda birine birþey fýsýldayamazsýn.	SNA
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Kaydolma ekranýna tekrar dönemezsiniz.
CHANNEL_EMPTY_SERVER	Sunucu yok
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Bu kanal dolu! Lütfen baþka bir kanal seçiniz.
CHANNEL_NOT_FIND_INFO	Kanal üzerinden herhangi bir bilgiye ulaþýlamadý.
CHANNEL_PVP	Serbest düello
CHANNEL_SELECT_CHANNEL	Kanal Seç
CHANNEL_SELECT_REGION	Bölge seç.
CHANNEL_SELECT_SERVER	Sunucu seç
CHANNEL_TEST_SERVER	Sunucuyu test et
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHAT_ALL	Genel
CHAT_BLOCK	Blok
CHAT_GUILD	Lonca
CHAT_INFORMATION	Bilgi
CHAT_INSULT_STRING	Bu cümle yanlýþ kelimeler içeriyor.
CHAT_LOG	Eski mesajý göster[L]
CHAT_LOG_TITLE	Sohbet Protokolü
CHAT_NORMAL	Normal
CHAT_NOTICE	Duyuru
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Sohbet yolla
CHAT_SEND_MEMO	Fýsýltý gönder[Shift+Enter]
CHAT_SHOUT	Baðýrmak
CHAT_SHOUT_LIMIT	15 saniyede bir baðýrabilirsiniz.
CHAT_WHISPER	Fýsýldama
CREATE_ERROR_GM_NAME	Karakter isminizde, GM ismini kullanamazsiniz.
CREATE_ERROR_INSULT_NAME	Bu isim hatalý.
CREATE_EXIST_SAME_NAME	Bu ismi zaten baþka bir karakter kullanýyor.
CREATE_FAILURE	Karakteri yaratamazsýn.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Ýsmi gir.
CREATE_PLUS_STAT	Hala statü puanýn var.
DAY	Gün
DO_YOU_BUY_ITEM1	Satýn almak istiyor musun? Nesne: %s Fiyat: %s
DO_YOU_BUY_ITEM2	Satýn almak istiyor musun? Nesne: %s %s Fiyat: %s
DO_YOU_DROP_MONEY	%d Yang býrakmak istiyor musun?
DO_YOU_SELL_ITEM1	Satmak istiyor musun? Nesne: %s Fiyat: %s
DO_YOU_SELL_ITEM2	Satmak istiyor musun? Adet: %s  Eþya: %s  Fiyat: %s
DRAGON_SOUL_CANNOT_REFINE	Bu ejderha taþý arýndýrýlamaz.
DRAGON_SOUL_CANNOT_REFINE_MORE	Bu ejderha taþý en yüksek seviyeye ulaþtý bile.
DRAGON_SOUL_EQUIP_WARNING1	Bir ejderha taþýný tekrar çýkartmak zor.
DRAGON_SOUL_EQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_EXPIRED	Süresi geçmiþ ejderha taþý
DRAGON_SOUL_INVALID_DRAGON_SOUL	Yanlýþ ejderha taþý.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Bu ejderha taþý deðil.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Bu doðru ejderha taþý deðil.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Arýndýrma için yeterli malzemen yok.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ejderha taþý bu boþluða sýðmýyor.
DRAGON_SOUL_STEP_LEVEL1	Saflýk: mat,
DRAGON_SOUL_STEP_LEVEL2	Saflýk: parlak,
DRAGON_SOUL_STEP_LEVEL3	Saflýk: tertemiz,
DRAGON_SOUL_STEP_LEVEL4	Saflýk: mükemmel,
DRAGON_SOUL_STEP_LEVEL5	Saflýk: kusursuz,
DRAGON_SOUL_STRENGTH	Seviye +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Ejderha taþý kýrýlabilir.
DRAGON_SOUL_UNEQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_UNMATCHED_SLOT	Bu yanlýþ boþluk.
DRAGON_SOUL_UNQUALIFIED	Ejderha taþý simyasýný henüz kullanamazsýn.
DROP_ITEM_FAILURE_EQUIP_ITEM	Giyilen eþyayý býrakamazsýn.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Özel dükkan açtýðýn sürece nesne düþüremiyorsun.
DROP_MONEY_FAILURE_1000_OVER	En fazla 999 Yang býrakabilirsin.
EMOTION_ANGRY	Can Sýkýcý
EMOTION_ATTRACTIVE	Baþtan Çýkarma
EMOTION_BANTER	Küçümseme
EMOTION_CHEERS_1	Hoþça Kal 1
EMOTION_CHEERS_2	Hoþça Kal 2
EMOTION_CHEERUP	Alkýþ
EMOTION_CHOOSE_ONE	Bir hedef seç.
EMOTION_CLAP	Alkýþlar
EMOTION_CLAP_KISS	Öpücük
EMOTION_CONGRATULATION	Onaylama
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Affetme
EMOTION_FRENCH_KISS	Fransýz öpücüðü
EMOTION_JOY	Neþe
EMOTION_SAD	Üzgün
EMOTION_SHY	Reddetme
EMOTION_SLAP	Çak
EMPIRE_A	Shinsoo Krallýðý
EMPIRE_B	Chunjo Krallýðý
EMPIRE_C	Jinno Krallýðý
EXCHANGE_CANNOT_GIVE	Bu nesneyi alýþveriþte kullanamazsýn.
EXCHANGE_CANT_EDIT_MONEY	Toplamý þu anda deðiþtiremezsin.
EXCHANGE_FAILURE_EQUIP_ITEM	Giyilen eþyayý takas edemezsin.
EXCHANGE_MONEY	Toplam
EXCHANGE_TITLE	%s ile alýþveriþ
FISHING_FAILURE	Yemi kaybettin.
FISHING_NOTIFY1	%s oltaya takýlmýþ gibi görünüyor.
FISHING_NOTIFY2	Oltaya %s takýlmýþ gibi görünüyor.
FISHING_SUCCESS1	%s !
FISHING_SUCCESS2	Suda %s tuttun!
FISHING_UNKNOWN	Oltaya birþey takýldý ama ne olduðu belli deðil.
FISHING_WRONG_PLACE	Burada balýk tutamazsýn.
FOR_FEMALE	kadýn için
FOR_MALE	erkek için
GAME_CANNOT_MINING	At üstündeyken madencilik yapamazsýn.
GAME_CANNOT_PICK_ITEM	Kazanmadýðýn için bu nesneyi toplayamazsýn.
GAME_INIT_ERROR_CURSOR	imleç tanýmlanamadý.
GAME_INIT_ERROR_DIRECTX	Oyunun çalisabilmesi için DirectX 8.1 kurulu olmasý gerekiyor.\nDirectX 8.1 veya daha yüksek bir sürümünü kur.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Grafik kartý bulunamadý.\nEðer mevcutsa, VGA kart sürücünüzün doðru yüklenmiþ olup olmadýðýný kontrol edin.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafik kartý kurulamadý. \n Eðer VGA kartýnýz varsa kontrol edin. \n Alternatif olarak, donaným hýzlandýrýcýnýzý aktif edebilirsiniz. \n (Donaným Hýzlandýrýcýnýzý maximuma ayarlayýn \n Control Panel->Display->Settings->Advanced->Troubleshoot)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Bilgisayarýnýzdaki grafik kartý Windows 32bit Modunu desteklemiyor.\n16bit Modunu veya tam ekran seçeneðini kullanýnýz.
GAME_INIT_ERROR_ITEM_PROTO	Nesne bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_MAIN_WINDOW	Anayapý oluþturulamýyor.
GAME_INIT_ERROR_MOB_PROTO	Canavar bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_NETWORK	Baðlantý kurulamýyor.\ninternet baðlantýnýzý kontrol ediniz.
GAME_PICK_MONEY	%d Yang Kazandýn.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Yükseklik 128 Pixel deðil
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Yükseklik 12 Pixel deðil
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Genislik 16 Pixel deðil
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Geniþlik 64 Pixel deðil
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Oyun bu resmi desteklemiyor.
GUILDMARK_UPLOADER_ERROR_PATH	Bilgiyi metin2/upload klasörüne taþý.
GUILDMARK_UPLOADER_ERROR_SELECT	Resim dosyasý seçilmedi.
GUILDWAR_CTF_TITLE	Bayrak ele geçirildi.
GUILDWAR_NORMAL_TITLE	Meydan Savaþý
GUILDWAR_QUESTION_LINE_1	%s loncasý, senin loncana savaþ ilan etti.
GUILDWAR_QUESTION_LINE_2	kabul ediyor musun? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena Savaþý
GUILD_BUILDING_GRADE	Sýralama
GUILD_BUILDING_NAME	Binanin ismi
GUILD_CANNOT_HEAL_GSP_ANYMORE	Ejderha Hayaleti Enerjisi tamamen yüklenmiþ durumda.
GUILD_COMMENT	Yaz
GUILD_CREATE_ERROR_INSULT_NAME	Lonca adý hatalý
GUILD_DEFAULT_GRADE	Lonca üyeleri
GUILD_DELETE	Sil
GUILD_DEPOSIT	Depozit
GUILD_DO_YOU_HEAL_GSP	%d Yang %d ile bir Ejderha Hayaleti yüklemek ister misin?
GUILD_DO_YOU_JOIN	  seni davet ediyor. Loncaya katýlmak istiyor musun?
GUILD_EMPTY_AREA	Boþ alan
GUILD_ENEMY_GUILD_NAME	Düþmanýn Lonca adý
GUILD_FACILITY	Ek bina
GUILD_GEM	Deðerli taþ
GUILD_HEADQUARTER	Ana bina
GUILD_HEAL_GSP	Ejderha Hayaleti Yükle
GUILD_INFO_ENEMY_GUILD_EMPTY	Boþ
GUILD_MARK_NOT_ENOUGH_LEVEL	En az 3. seviye gerekir
GUILD_NAME	Lonca adý
GUILD_NOT_ENOUGH_MATERIAL	Bu bina için yeterli inþaat malzemesine sahip deðilsin.
GUILD_NOT_ENOUGH_MONEY	Bu bina için yeterli Yang'a sahip deðilsin.
GUILD_NO_NOTICE_PERMISSION	Duyuru yapmak için gerekli iznin yok.
GUILD_OBJECT	Nesne
GUILD_OFFER_EXP	Tecrübe yatýr
GUILD_SHORT_EXP	Yeterli Tecrübe Puaný yok.
GUILD_TILE_BASEINFO	Temel bilgiler
GUILD_TILE_BOARD	Kara tahta
GUILD_TILE_GRADE	Yönetici Pozisyonu
GUILD_TILE_INFO	Lonca bilgileri
GUILD_TILE_MEMBER	Lonca üyeleri
GUILD_TILE_SKILL	Lonca becerisi
GUILD_WAR_LIMIT_30MIN	Zaman: 30 dakika
GUILD_WAR_REWARD_POTION	Ödül: Yenen iksir kazanacak
GUILD_WAR_USE_BATTLE_MAP	Yer: Lonca Savaþý Arenasý
GUILD_WAR_USE_NORMAL_MAP	Yer: Normal Harita
GUILD_WAR_WIN_CHECK_SCORE	Savaþý en yüksek skor kazanýr
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Düþmanýn bayraðýný ele geçir
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ve kendi üssüne götür.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Kazanmak için tüm düþmanlarý öldür.
GUILD_WITHDRAW	Geri çekil.
GUILD_YOU_DO_NOT_JOIN	Bir Loncaya üye deðilsin.
HORSE_HEALTH0	Ölü
HORSE_HEALTH1	Aç kalmýþ halde
HORSE_HEALTH2	Acýkmýþ halde
HORSE_HEALTH3	Tok
HORSE_LEVEL1	Normal at
HORSE_LEVEL2	Savaþ Atý
HORSE_LEVEL3	Asker at
HOUR	Saat
HOW_MANY_ITEM_DO_YOU_DROP1	%s atmak istiyor musun?
HOW_MANY_ITEM_DO_YOU_DROP2	%s %d atmak istiyor musun?
INPUT_MATRIX_CARD_NUMBER	Matrix Kart Numaraný gir.
INPUT_MATRIX_CARD_TITLE	Matrix Kart
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Hesap ayarlarýnýzdaki silme-kodunu buraya giriniz.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Karakteri sil
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Dönüþ Rolesi
INVENTORY_REALLY_USE_ITEM	Bu eþyayý kullanmak istiyor musun?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Amatör Ninja
JOB_ASSASSIN1	Ninjalarin Gücü
JOB_ASSASSIN2	Ölümsüz
JOB_SHAMAN	Þaman
JOB_SHAMAN0	Amatör þaman
JOB_SHAMAN1	Ejderhanýn Gücü
JOB_SHAMAN2	Þimþek Gücü
JOB_SURA	Sura
JOB_SURA0	Amatör Sura
JOB_SURA1	Büyülü Silah Gücü
JOB_SURA2	Kara Büyünün Gücü
JOB_WARRIOR	Savaþçý
JOB_WARRIOR0	Amatör Savaþçý
JOB_WARRIOR1	Bedensel Güç
JOB_WARRIOR2	Zihinsel Güç
LEFT_TIME	Kalan Süre
LOGIN_CONNECT_FAILURE	Sunucuya baðlanýrken hata
LOGIN_CONNECT_SUCCESS	Sunucuya baðlandýn.
LOGIN_CONNETING	Sunucuya baðlanýyorsun...
LOGIN_FAILURE_ALREAY	Hesap zaten baðlý.
LOGIN_FAILURE_BE_SAME_KEY	Kayýt problemi
LOGIN_FAILURE_BLOCK_ID	Hesabýnýz engellendi!
LOGIN_FAILURE_BLOCK_LOGIN	Lütfen baþka server seç!
